"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SIJC2BPN","webpage","","","Autodesk BIM Collaborate Pro | Få priser og køb","","","","","https://www.autodesk.com/dk/products/bim-collaborate/overview","BIM Collaborate Pro er cloudbaseret software, der giver AEC-teams mulighed for at samarbejde om design og koordinering. Køb et BIM Collaborate Pro-abonnement i den officielle Autodesk-butik eller hos en forhandler.","","2024-11-07 10:52:40","2024-11-07 10:52:40","2024-11-07 10:52:40","","","","","","","","","","","","","","da-DK","","","","","","","","","/home/dorten/Zotero/storage/4BMLUY6E/overview.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVLDGYBG","webpage","2020","Rosario, Bobby del","Introducing Collaboration for Plant 3D with BIM 360","AEC Tech Drop","","","","https://www.autodesk.com/blogs/aec/2020/03/24/collaboration-for-plant-3d/","Enhanced cloud-based collaboration for plant designers and engineers March 25, 2020. We are excited to introduce Autodesk Collaboration for Plant 3D. This releaseexpands our BIM 360 platform to include a connection with the AutoCAD Plant 3D toolset. Now, with Collaboration for Plant 3D, plant designers and engineers can more effectively manage access permissions to enable […]","2020-03-24","2024-11-07 10:47:33","2024-11-07 10:47:33","2024-11-07 10:47:33","","","","","","","","","","","","","","en-US","","","","","","","","","/home/dorten/Zotero/storage/QYGAZI4M/collaboration-for-plant-3d.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IIIYCMPF","webpage","2019","tempannie","BIM 360 Design debuts Collaboration for Civil 3D","AEC Tech Drop","","","","https://www.autodesk.com/blogs/aec/2019/10/30/bim-360-design/","Cloud-based workflows and better project delivery for infrastructure professionals We’re excited to announce that Autodesk’s fastest-growing cloud solution expands to include Civil 3D. Starting today, BIM 360 Design’s newest functionality, “Collaboration for Civil 3D” is now available along with Civil 3D 2020.2. Collaboration for Civil 3D enables project teams—whether within one firm or across multiple firms—to […]","2019-10-30","2024-11-07 10:47:24","2024-11-07 10:47:24","2024-11-07 10:47:24","","","","","","","","","","","","","","en-US","","","","","","","","","/home/dorten/Zotero/storage/TFATZBKV/bim-360-design.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIYBDJJ2","report","2023","","Digital Construction Report 2023","","","","","https://www.thenbs.com/digital-construction-report-2023/_pdfs/digital-construction-report-2023.pdf","","2023","2024-10-31 09:55:37","2024-10-31 09:58:32","2024-10-30 19:06:07","51","","","","","","","","","","","NBS Enterprises Ltd","","English","NBS Enterprises Ltd © 2023 All rights reserved","","","","","","","","/home/dorten/Zotero/storage/E8Y4MIAW/Digital Construction Report-2023.pdf.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YRYCSC7H","journalArticle","2022","Gomes, Augusto M.; Azevedo, Gonçalo; Sampaio, Alcínia Zita; Lite, Alberto Sánchez","BIM in Structural Project: Interoperability Analyses and Data Management","Applied Sciences","","2076-3417","10.3390/app12178814","https://www.mdpi.com/2076-3417/12/17/8814","Building Information Modelling (BIM) is a methodology supported on technological evolution achievements, and consists of a set of processes and tools that allows the creation of a digital three-dimensional model. The model centralizes information, in an organized database, facilitating the data access and the exchange between the collaborators and enterprises along all life cycle of a building. The study is focused on the application of BIM within the framework of a structural design, identifying the benefits and limitations verified in the process and indicating strategies allowing to improve the quality of the project and construction. A structural BIM model of a study case was created; using BIM based platforms, followed by its transfer to the calculation software, where the structural analysis and design were carried out. After, using the structural BIM model complemented with the reinforcements, several applications and tasks were performed, namely, the coordination and collaboration procedures, detection of conflicts analyses, production of dynamic drawings, budget estimation and environmental impact simulation of the structural framework concerning the CO2 emission. In the structural domain, the interoperability is the main problem that must be understood and the present study contributes to clarify the recurrent limitations. The research also presents the capacity of BIM methodology of using the database of the BIM model to achieve several types of tasks that normally are associated to the structural design. The study demonstrates the significant improvement in the quality of the structural design and the wide applicability of the BIM model, when compared with the current traditional sequential and fragmented process.","2022-01","2024-10-31 09:21:29","2024-10-31 09:21:29","2024-10-31 09:21:29","8814","","17","12","","","BIM in Structural Project","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 17","","/home/dorten/Zotero/storage/UJWNDCTD/Gomes et al. - 2022 - BIM in Structural Project Interoperability Analyses and Data Management.pdf","","","BIM dimensions; Building Information Modelling (BIM); implementation; interoperability; reinforced concrete; structural design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UY2SD7Y7","journalArticle","2020","Shirowzhan, Sara; Sepasgozar, Samad M. E.; Edwards, David J.; Li, Heng; Wang, Chen","BIM compatibility and its differentiation with interoperability challenges as an innovation factor","Automation in Construction","","0926-5805","10.1016/j.autcon.2020.103086","https://www.sciencedirect.com/science/article/pii/S0926580519309215","Building information modelling (BIM) applications are being increasingly introduced throughout the construction industry and within academia, a large amount of BIM applications has been recommended within literature. However, coverage of the theory of BIM diffusion (which combines contextual and technical issues of the applications) remains scant and underdeveloped. Compatibility is one of the key contextual factors of Diffusion of Innovation theory that involves predicting BIM adopters' behaviours and identifying what components require extra effort for successful BIM implementation. However, this important theoretical concept has not been developed in pertinent BIM literature nor used correctly to extend existing knowledge because compatibility variables are not understood in a construction context. This seriously impedes the correct usage of BIM in construction. This study systematically and critically reviews BIM compatibility (BIM-COM) literature to distinguish compatibility issues at the organisational level and the concept of interoperability at the technical level. A sample of 57 out of the 131 articles constituted secondary data and each paper represented the unit of analysis. Bibliographic analysis techniques were used to identify co-authoring network and contents' concentration in the created bibliography. Content analysis and text mining approaches were employed using a thematic clustering analysis for grouping authors and themes within articles. The findings illustrate that the concept of compatibility is surprisingly poorly understood and often overlooked in the literature. The paper argues that interoperability issues prevail as the key practical barrier to BIM implementation. The paper identifies a large knowledge gap in terms of improving compatibility measures, which should be employed by innovators to assess their BIM applications before they offer it to construction companies. The findings presented will help to extend BIM applications and speed up the adoption rate among stakeholders with different needs and using different file formats.","2020-04-01","2024-10-30 19:42:31","2024-10-30 19:42:31","2024-10-30 19:42:31","103086","","","112","","Automation in Construction","","","","","","","","","","","","","ScienceDirect","","","","/home/dorten/Zotero/storage/AVMNL7GF/1-s2.0-S0926580519309215-main.pdf; /home/dorten/Zotero/storage/LX6SCGP9/S0926580519309215.html","","","Adoption; BIM; Compatibility; Data and model exchange; Implementation; Interoperability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W5VK4JGF","journalArticle","2022","Gomes, Augusto M.; Azevedo, Gonçalo; Sampaio, Alcínia Zita; Lite, Alberto Sánchez","BIM in Structural Project: Interoperability Analyses and Data Management","Applied Sciences","","2076-3417","10.3390/app12178814","https://www.mdpi.com/2076-3417/12/17/8814","Building Information Modelling (BIM) is a methodology supported on technological evolution achievements, and consists of a set of processes and tools that allows the creation of a digital three-dimensional model. The model centralizes information, in an organized database, facilitating the data access and the exchange between the collaborators and enterprises along all life cycle of a building. The study is focused on the application of BIM within the framework of a structural design, identifying the benefits and limitations verified in the process and indicating strategies allowing to improve the quality of the project and construction. A structural BIM model of a study case was created; using BIM based platforms, followed by its transfer to the calculation software, where the structural analysis and design were carried out. After, using the structural BIM model complemented with the reinforcements, several applications and tasks were performed, namely, the coordination and collaboration procedures, detection of conflicts analyses, production of dynamic drawings, budget estimation and environmental impact simulation of the structural framework concerning the CO2 emission. In the structural domain, the interoperability is the main problem that must be understood and the present study contributes to clarify the recurrent limitations. The research also presents the capacity of BIM methodology of using the database of the BIM model to achieve several types of tasks that normally are associated to the structural design. The study demonstrates the significant improvement in the quality of the structural design and the wide applicability of the BIM model, when compared with the current traditional sequential and fragmented process.","2022-01","2024-10-30 14:43:32","2024-10-30 14:43:32","2024-10-30 14:43:32","8814","","17","12","","","BIM in Structural Project","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 17","","/home/dorten/Zotero/storage/X8WMS4UI/Gomes et al. - 2022 - BIM in Structural Project Interoperability Analyses and Data Management.pdf","","","BIM dimensions; Building Information Modelling (BIM); implementation; interoperability; reinforced concrete; structural design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7FB3PQB","encyclopediaArticle","2024","","Building information modeling","Wikipedia","","","","https://en.wikipedia.org/w/index.php?title=Building_information_modeling&oldid=1249574385","Building information modeling  (BIM) is a process involving the generation and management of digital representations of the physical and functional characteristics of buildings and other physical assets. BIM is supported by various tools, technologies and contracts. Building information models (BIMs) are computer files (often but not always in proprietary formats and containing proprietary data) which can be extracted, exchanged or networked to support decision-making regarding a built asset. BIM software is used by individuals, businesses and government agencies who plan, design, construct, operate and maintain buildings and diverse physical infrastructures, such as water, refuse, electricity, gas, communication utilities, roads, railways, bridges, ports and tunnels. The concept of BIM has been in development since the 1970s, but it only became an agreed term in the early 2000s. The development of standards and the adoption of BIM has progressed at different speeds in different countries. Developed by buildingSMART, Industry Foundation Classes (IFCs) – data structures for representing information – became an international standard, ISO 16739, in 2013, and BIM process standards developed in the United Kingdom from 2007 onwards formed the basis of an international standard, ISO 19650, launched in January 2019.","2024-10-05","2024-10-30 13:58:11","2024-10-30 13:58:11","2024-10-30 13:58:11","","","","","","","","","","","","","","en","Creative Commons Attribution-ShareAlike License","","","","Wikipedia","","Page Version ID: 1249574385","","/home/dorten/Zotero/storage/UB8HN3XX/Building_information_modeling.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77ULX2K4","journalArticle","2023","Yu, Youngsu; Kim, Sihyun; Jeon, Haein; Koo, Bonsang","A Systematic Review of the Trends and Advances in IFC Schema Extensions for BIM Interoperability","Applied Sciences","","2076-3417","10.3390/app132312560","https://www.mdpi.com/2076-3417/13/23/12560","Numerous studies have developed extensions to the IFC schema to meet the needs of specialized domains or represent nascent technologies, and in turn have expanded the scope of interoperability for BIM data exchanges. However, these studies used varying approaches for IFC extensions and validation, making it difficult to identify research gaps and agree on legitimate extension protocols. This study collected 64 studies of IFC schema extensions spanning over two decades, from 2001 to 2022. The analysis first focused on categorizing these cases with respect to their target domains and sectors, their purpose and extension approaches, as well as their methods for implementation and validation. Timeline analyses were also conducted to track the temporal trends over the specified period. The results revealed that architectural cases have recently shifted from process to product representations due to new technology adoptions, while infrastructure cases, initially centered on major sector elements, have transitioned towards operation and maintenance processes. The findings also showed the need for a more holistic and organized approach for extensions, as current ad hoc developments were limited to products and processes only applicable for specific sectors.","2023-01","2024-10-30 13:53:31","2024-10-30 13:53:31","2024-10-30 13:53:31","12560","","23","13","","","","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 23","","/home/dorten/Zotero/storage/RPHA8PS8/Yu et al. - 2023 - A Systematic Review of the Trends and Advances in IFC Schema Extensions for BIM Interoperability.pdf","","","building information modeling; IFC literature review; IFC schema extension; industry foundation classes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33RPH792","journalArticle","2021","Gerbino, Salvatore; Cieri, Luigi; Rainieri, Carlo; Fabbrocino, Giovanni","On BIM Interoperability via the IFC Standard: An Assessment from the Structural Engineering and Design Viewpoint","Applied Sciences","","2076-3417","10.3390/app112311430","https://www.mdpi.com/2076-3417/11/23/11430","Building information modelling (BIM) plays a prominent role in a good deal of architecture, engineering and construction (AEC) works, envisaging a full transition to digitalization for the construction industry. This is also due to a number of national and international regulations regarding the design, erection, and management of civil engineering constructions. For this reason, full interoperability of software environments such as computer-aided design (CAD) and computer-aided engineering (CAE) is a necessary requirement, particularly when the exchange of information comes from different disciplines. Users, throughout the years, have faced CAD–CAE interoperability issues despite following the IFC neutral open file format. This inability to share data (CAD to CAD, CAD to CAE) often generates model-interpretation problems as well as a lack of parametric information and a disconnection of elements. This paper addresses issues and mapping mechanisms in the exchange of data for the purpose of defining a baseline for the current status of bidirectional data exchange between AEC CAD/CAE software via the IFC format. A benchmark study, covering three years of software releases is illustrated; the assessment of the software performance was made with reference to criteria associated with the software’s level of suitability for use of the structural models. Four classes of performance, depending on the accuracy of the data transfer and on the associated corrective actions to be taken, were adopted. This confirmed that at the moment, the implementation of the IFC standard by software manufacturers is geared towards an expert class of users. Further efforts are needed in order to ensure its application is adopted by a wider class, thus extending and regulating its use by national, regional, and local authorities.","2021-01","2024-10-30 13:52:26","2024-10-30 13:53:02","2024-10-30 13:52:26","11430","","23","11","","","On BIM Interoperability via the IFC Standard","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 23","","/home/dorten/Zotero/storage/7N7QV55U/Gerbino et al. - 2021 - On BIM Interoperability via the IFC Standard An Assessment from the Structural Engineering and Desi.pdf","","","BIM interoperability; building information modelling (BIM); computer-aided design (CAD); computer-aided engineering (CAE); data exchange; Industry Foundation Classes (IFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UUZMZVC","journalArticle","2021","Gerbino, Salvatore; Cieri, Luigi; Rainieri, Carlo; Fabbrocino, Giovanni","On BIM Interoperability via the IFC Standard: An Assessment from the Structural Engineering and Design Viewpoint","Applied Sciences","","2076-3417","10.3390/app112311430","https://www.mdpi.com/2076-3417/11/23/11430","Building information modelling (BIM) plays a prominent role in a good deal of architecture, engineering and construction (AEC) works, envisaging a full transition to digitalization for the construction industry. This is also due to a number of national and international regulations regarding the design, erection, and management of civil engineering constructions. For this reason, full interoperability of software environments such as computer-aided design (CAD) and computer-aided engineering (CAE) is a necessary requirement, particularly when the exchange of information comes from different disciplines. Users, throughout the years, have faced CAD–CAE interoperability issues despite following the IFC neutral open file format. This inability to share data (CAD to CAD, CAD to CAE) often generates model-interpretation problems as well as a lack of parametric information and a disconnection of elements. This paper addresses issues and mapping mechanisms in the exchange of data for the purpose of defining a baseline for the current status of bidirectional data exchange between AEC CAD/CAE software via the IFC format. A benchmark study, covering three years of software releases is illustrated; the assessment of the software performance was made with reference to criteria associated with the software’s level of suitability for use of the structural models. Four classes of performance, depending on the accuracy of the data transfer and on the associated corrective actions to be taken, were adopted. This confirmed that at the moment, the implementation of the IFC standard by software manufacturers is geared towards an expert class of users. Further efforts are needed in order to ensure its application is adopted by a wider class, thus extending and regulating its use by national, regional, and local authorities.","2021-01","2024-10-24 12:46:05","2024-10-24 12:46:05","2024-10-24 12:46:05","11430","","23","11","","","On BIM Interoperability via the IFC Standard","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 23","","/home/dorten/Zotero/storage/693U93WZ/Gerbino et al. - 2021 - On BIM Interoperability via the IFC Standard An Assessment from the Structural Engineering and Desi.pdf","","","BIM interoperability; building information modelling (BIM); computer-aided design (CAD); computer-aided engineering (CAE); data exchange; Industry Foundation Classes (IFC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MVG2GPA2","journalArticle","2022","Ariono, Bernardus; Wasesa, Meditya; Dhewanto, Wawan","The Drivers, Barriers, and Enablers of Building Information Modeling (BIM) Innovation in Developing Countries: Insights from Systematic Literature Review and Comparative Analysis","Buildings","","2075-5309","10.3390/buildings12111912","https://www.mdpi.com/2075-5309/12/11/1912","Building information modeling (BIM) has received significant attention in the last two decades from the architecture, engineering, and construction (AEC) industry. Despite the popular trend of BIM in developing countries, the adoption of this technology is still low. This paper aims to investigate the drivers, barriers, and enablers of BIM adoption in developing countries with regard to global challenges. A systematic literature review and an in-depth comparative qualitative analysis were conducted to accomplish the objective. Relevant articles from three major databases covering 20 years (2002–2022) of journal article publications were analyzed. The comparative study identified drivers, barriers, and enablers influencing BIM innovation in six developing countries from three different continents. Additionally, a critical review and analysis explored the importance of BIM’s innovation factors in developing countries. The stakeholders of AEC will benefit from insights offered by this study to prepare BIM implementation strategies effectively.","2022-11","2024-10-24 11:01:02","2024-10-24 11:01:02","2024-10-24 11:01:02","1912","","11","12","","","The Drivers, Barriers, and Enablers of Building Information Modeling (BIM) Innovation in Developing Countries","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 11","","/home/dorten/Zotero/storage/G3PIZBYR/Ariono et al. - 2022 - The Drivers, Barriers, and Enablers of Building Information Modeling (BIM) Innovation in Developing.pdf","","","BIM; building information modeling; developing countries; innovation; qualitative research; systematic literature review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QHBQ2Z6S","journalArticle","2018","Sardroud, Javad Majrouhi; Mehdizadehtavasani, Mohammadali; Khorramabadi, Amin; Ranjbardar, Alireza","Barriers Analysis to Effective Implementation of BIM in the Construction Industry","International Symposium on Automation and Robotics in Construction (ISARC) Proceedings","","2413-5844","10.22260/ISARC2018/0009","https://www.iaarc.org/publications/2018_proceedings_of_the_35th_isarc/barriers_analysis_to_effective_implementation_of_bim_in_the_construction_industry.html","","2018-07-22","2024-10-24 08:53:29","2024-10-24 08:53:29","2024-10-24 08:53:29","64-71","","","2018 Proceedings of the 35th ISARC, Berlin, Germany","","ISARC Proceedings","","","","","","IAARC","","en","","","","","www.iaarc.org","","ISBN: 9783000608551","","/home/dorten/Zotero/storage/3PCGLGF3/Sardroud et al. - 2018 - Barriers Analysis to Effective Implementation of BIM in the Construction Industry.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
